"Cluster","HPCA","Blueprint","Final_Annotation"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"12","Macrophage","Macrophages","C12-Progenitor_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"7","Epithelial_cells","Erythrocytes","C7-Ciliated_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"12","DC","Monocytes","C12-Progenitor_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"12","Pre-B_cell_CD34-","Monocytes","C12-Progenitor_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
